text,outcome,stage
"Da trên bắp chân tôi trở nên đỏ và viêm. Chân tôi đau nếu cố chạy hoặc vận động mạnh",0,0
"Ăn xong tôi cảm thấy hơi mệt và thèm đồ ngọt",1,1
"Đôi lúc thấy miệng hơi khô nhưng uống nước là bình thường",1,1
"Tay chân tê nhứt không rõ lý do",1,3
"khi đi tiểu tôi cảm thấy rất buốt và rát ở đường tiểu",0,0
"Tôi uống nhiều nước và đi tiểu thường xuyên hơn. Họng và miệng thường xuyên bị khô. Gần đây, cảm giác thèm ăn và cơn đói của tôi đều tăng lên",1,1
"Tôi thấy da bàn chân khô nứt và rất khó liền",1,3
"thường bị tê chân, chuột rút về đêm",1,3
"tự nhiên bị sụp mí mắt một bên, nhìn một hóa hai",1,3
"Tôi bị ngứa dữ dội khắp người, kèm theo ớn lạnh và nôn mửa. Tôi sốt rất cao và đổ mồ hôi đầm đìa. Tôi cũng bị đau đầu và thấy buồn nôn. Cơ bắp tôi thực sự đau đớn",0,0
"Tôi bị ngứa toàn thân nghiêm trọng, ớn lạnh và nôn mửa. Tôi sốt rất cao và đổ mồ hôi nhiều. Tôi cũng thấy nôn nao và đau đầu. Cơ bắp đau đớn tột cùng",0,0
"hay bị chuột rút vào buổi sáng",1,3
"Tĩnh mạch ở bắp chân tôi lồi ra khá bất thường. Tôi lo về điều đó. Tôi cũng bị thừa cân và nghĩ đó là lý do",0,0
"Tôi bị táo bón và đau bụng, thực sự rất khó chịu. Cơn đau bụng ngày càng tệ và bắt đầu ảnh hưởng đến sinh hoạt. Hơn nữa, tôi bị ớn lạnh mỗi đêm, sau đó là sốt nhẹ",0,0
"Tôi cũng bị tiêu chảy, cảm giác rất tệ. Nó cứ đến rồi đi, kèm theo co thắt bụng và đầy hơi",0,0
"ăn xong bụng cứ chướng lên, đầy hơi khó tiêu cả buổi trời mới hết",1,3
"MÌNH THÍCH ĐI ĂN MÌ CAY",0,0
"hơi thở của tôi dạo này có mùi lạ, giống như mùi táo chín",1,2
"Tôi cảm thấy khá ốm. Tôi bị sốt cao và đau đầu. Phát ban xuất hiện trên cánh tay và mặt. Tôi khá lo lắng về điều này. Hôm nay tôi thấy những vết loét đỏ quanh mũi và môi",0,0
"cái lưng tui dạo này cứ mọc mụn nhọt mãi, cái này lặn thì cái khác mọc lên",1,2
"tiểu sử của vị tướng này rất hào hùng",0,0
"Cả lượng nước uống vào và tần suất đi tiểu của tôi đều tăng. Miệng và họng cảm thấy khô rất nhiều. Cơn đói và sự thèm ăn đều tăng gần đây",1,1
"Các vết phát ban trên mặt tôi không lành. Tôi đã thử vài loại thuốc nhưng không đỡ nhiều. Gần đây, tôi nhận thấy những vết loét nhỏ gần mũi. Chúng đau và rất khó xử lý",0,0
"cam ở sạp này rất ngọt và mọng nước",0,0
"tôi bị vấp ngã nên đau ngón chân cái",0,0
"mất ngủ vì khát nước",1,2
"Tôi bị ngứa khắp người dữ dội, ớn lạnh và nôn. Tôi sốt rất cao và đổ mồ hôi nhiều. Tôi cũng thấy buồn nôn và đau đầu. Cơ bắp đau đớn vô cùng",0,0
"Tôi bị ngứa toàn thân nghiêm trọng, cùng với ớn lạnh và buồn nôn. Tôi đổ mồ hôi nhiều và sốt cực cao. Tôi thấy đau dạ dày và đau đầu. Cơ bắp tôi đau nhức nhiều",0,0
"uống nước liên tục mà cổ họng vẫn cứ khô khốc như sa mạc",1,2
"tiểu tiện là nhu cầu sinh lý bình thường của con người",0,0
"con tôi đang học trường tiểu học gần nhà",0,0
"tôi không thích ăn đường vì sợ sâu răng",0,0
"chuyện vợ chồng dạo này chán quá, trên bảo dưới không nghe",1,3
"Tôi bị đau đầu suốt tuần qua và nó đang tệ dần. Kèm theo là đau dạ dày, táo bón và tiêu chảy. Tôi không biết chuyện gì đang xảy ra và rất lo lắng",0,0
"Tôi sụt cân nhiều trong tuần trước vì không ăn được do buồn nôn và nôn. Sau đó là sốt cao, đau đầu và đau dạ dày",0,0
"tôi ít khi cảm thấy đau đầu hay chóng mặt",0,0
"cái vết xước ở gót chân do giày cọ vào cả tháng nay rồi mà nó cứ loét ra, không chịu khép miệng",1,3
"làm bánh xong tôi bị đường dính đầy người rất khó chịu",0,0
"Tôi cảm thấy buồn nôn và liên tục muốn nôn. Có cơn đau mạnh phía sau mắt và những đốm đỏ nhỏ khắp cánh tay",0,0
"Tôi bị nổi các đốm đỏ trên cơ thể, ngứa và bị viêm. Tôi cũng đang bị sốt cao kèm ớn lạnh và run rẩy",0,0
"sức khỏe tôi rất tốt, không bệnh vặt",0,0
"hôm qua tôi bị kiến lửa cắn vào chân sưng tấy rất đau",0,0
"Tôi bị kích ứng da và phát ban, nhất là ở các nếp gấp da. Bất kỳ vết thương hay vết bầm nào trên da cũng lành khá chậm",1,3
"tôi hay bị bệnh vặt, hắt xì, sổ mũi",0,0
"Tôi bị tiêu chảy và táo bón xen kẽ, khá là lo ngại. Dạ dày tôi đau nhức dữ dội. Tôi luôn kiệt sức và không muốn ăn gì",0,0
"cảm giác bàn chân mất cảm giác, đạp phải gai cũng không biết đau",1,3
"tôi đang đọc một cuốn tiểu thuyết trinh thám rất hấp dẫn",0,0
"cô ấy có giọng hát rất ngọt ngào làm tôi mê mẩn",0,0
"kiến thức của bác sĩ rất uyên thâm",0,0
"chúng tôi bị lạc đường giữa rừng sâu",0,0
"người cứ hầm hập nóng, uống nước đá liên tục mà vẫn cảm giác như đang ở sa mạc",1,2
"Tôi đang bị đau khớp dữ dội và nôn mửa. Tôi bị phát ban da khắp cơ thể kèm theo ngứa dữ dội",0,0
"Tôi bị ớn lạnh và run rẩy dù đang ở trong môi trường ấm áp. Lưng tôi đau suốt và có những đốm đỏ trên cánh tay",0,0
"Tôi bị đau khớp nghiêm trọng khiến tôi khó di chuyển và thực hiện các hoạt động hàng ngày. Ngoài ra, tôi bị mất cảm giác ngon miệng nên cảm thấy yếu ớt",0,0
"tôi thấy mệt mỏi vì áp lực công việc quá lớn",0,0
"Tôi đang chịu đựng cơn ngứa dữ dội, ớn lạnh, nôn mửa và sốt cao. Tôi cũng đổ mồ hôi nhiều và đau đầu. Buồn nôn và đau cơ cũng đang hành hạ tôi",0,0
"Tôi bị sốt cao, ngứa nghiêm trọng, ớn lạnh và nôn mửa. Tôi cũng đau đầu và đổ mồ hôi nhiều. Thêm vào đó, tôi bị đau do buồn nôn và nhức mỏi cơ",0,0
"Tôi gặp khó khăn khi thở, đặc biệt là ở ngoài trời. Tôi bắt đầu thấy nóng và đổ mồ hôi. Tôi thường xuyên bị nhiễm trùng đường tiết niệu và nhiễm nấm men",1,3
"Đường về nhà tôi rất tối vào ban đêm, đi lại khó khăn",0,0
"Tôi nhận thấy các vết thương trên mặt lành chậm hơn và dễ bị nhiễm trùng hơn. Các vết thương trên má rất lớn, chạm vào thấy khó chịu và cực kỳ khó điều trị. Tôi dường như không thể làm các vết loét này biến mất",0,0
"Đường này rất nguy hiểm",0,0
"Tôi đang bị sốt cao. Tôi bị phát ban ở mặt, cổ và cánh tay. Vết ban bao gồm các vết thương đỏ gây đau đớn. Tôi lo lắng cho sức khỏe của mình",0,0
"tôi thích uống trà không đường để giảm cân",0,0
"tôi bị ngã xe trầy xước hết chân tay",0,0
"mấy đầu ngón chân tui cứ tê tê râm ran như có kiến bò dưới da, khó chịu ghê",1,3
"Tôi bị đau cơ khiến việc đi lại khó khăn. Tôi mất cảm giác ngon miệng và cảm thấy muốn nôn. Chân và lưng tôi đau rất nhiều",0,0
"đường về nhà tôi rất tối về đêm, đi lại khó khăn",0,0
"Tôi thường xuyên cảm thấy muốn đi tiểu và có những cơn thèm tiểu dữ dội. Tôi hay thấy say xẩm và hoang mang. Tôi cũng đã bị mất thị lực",1,3
"tôi thích đi chơi",0,0
"tui muốn đi chơi",0,0
"cứ ăn cơm trưa xong là mắt tui díp lại, gục ngay tại bàn không tài nào cưỡng được",1,1
"dạo này tự nhiên thèm của ngọt, cứ phải làm cốc trà sữa mới chịu nổi",1,1
"sao dạo này da dẻ khô rang, bôi kem dưỡng ẩm mãi mà vẫn nứt nẻ",1,1
"Tôi bị tiêu chảy, phân lỏng nhiều nước nhiều lần trong ngày. Tôi mất cảm giác ngon miệng và luôn thấy ốm yếu. Tôi cũng bắt đầu sốt nhẹ. Bụng tôi cũng đau nhiều",0,0
"người ngợm lúc nào cũng lờ đờ, chả muốn nhấc tay làm gì cả",1,1
"tiểu đội trưởng ra lệnh cho chúng tôi tập hợp",0,0
"đường kính của hình tròn này là bao nhiêu",0,0
"Mắt tôi bị mờ và cảm giác như đang tệ đi. Lúc nào tôi cũng thấy mệt và kiệt sức. Thỉnh thoảng tôi cũng bị cực kỳ choáng váng và chóng mặt",1,2
"rất khát nước, nhất là vào ban đêm",1,2
"Tôi bị tiêu chảy mấy hôm nay, chắc là do ăn đồ lạ",0,0
"Tôi thường xuyên trải qua những cơn buồn tiểu dữ dội và muốn đi tiểu. Tôi thường xuyên cảm thấy lơ mơ và lạc lõng. Tôi cũng bị giảm thị lực đáng kể",1,3
"tôi cảm thấy khát vọng sống mãnh liệt",0,0
"đường đời tấp nập kẻ đến người đi",0,0
"dạo này nhìn điện thoại cứ phải nheo mắt lại, hình ảnh cứ nhòe nhòe sương khói sao ấy",1,3
"tôi cảm thấy đau lòng khi xem bộ phim này",0,0
"mẹ tôi mua đường phèn về chưng yến",0,0
"vết muỗi đốt ở chân gãi trầy xước mà cả tháng rồi vẫn chảy nước vàng",1,3
"ngủ dậy thấy miệng đắng ngắt và khô khốc",1,1
"tôi không dám ăn nhiều nhưng cân nặng vẫn giảm vù vù",1,2
"cảm thấy hồi hộp, tim đập nhanh vô cớ dù đang ngồi nghỉ",1,2
"Tôi khó tập trung và cảm xúc thay đổi thất thường. Đôi khi, đầu óc tôi như có mây mù, khiến tôi khó thực hiện ngay cả những việc đơn giản",1,2
"Tôi cảm thấy cơ bắp run rẩy. Tôi thấy kiệt sức, vị giác và khứu giác bị suy giảm. Đôi khi tôi bị đánh trống ngực hoặc tim đập nhanh",1,2
"tôi ăn chay trường nên không ăn thịt",0,0
"Tôi bị ngứa dữ dội, nôn mửa, mệt mỏi và sụt cân. Sốt cao và da hóa vàng. Nước tiểu tối màu và tôi bị đau bụng",0,0
"Tôi bị sụt cân, cảm thấy thực sự mệt mỏi và nôn mửa rất nhiều. Da tôi trở nên vàng, và tôi sốt cao. Nước tiểu sẫm màu và tôi bị đau dạ dày",0,0




